nazwa_obiektu;wojewodztwo;kategoria_obiektu;adres;wspolrzedne;wikipedia_opis;google_maps_link;stopien_odznaki;status
muzea przyrodnicze;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Kategoria obejmuje placowki muzealne prezentujace geologie, faune, flore i procesy przyrodnicze. Punkty przyznaje sie za realne odwiedzenie i zapoznanie sie z ekspozycja, co wspiera edukacje ekologiczna oraz swiadome poznawanie dziedzictwa przyrodniczego.;https://www.google.com/maps/search/Polska+muzeum+przyrodnicze;15 pkt;ETAP2_OK
obszary NATURA 2000;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;NATURA 2000 to siec obszarow chronionych wyznaczonych dla ochrony siedlisk i gatunkow o znaczeniu europejskim. W regulaminie kategoria premiuje odwiedzanie i rozumienie terenow o szczegolnej wartosci przyrodniczej oraz zasad ich ochrony.;https://www.google.com/maps/search/Polska+Natura+2000;15 pkt;ETAP2_OK
dziay przyrody w muzeach, ekspozycje przyrodnicze, ogrody zoologiczne, botaniczne;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Kategoria laczy instytucje i ekspozycje popularyzujace nauki przyrodnicze, w tym ogrody botaniczne i zoologiczne. Jej celem jest poszerzenie wiedzy o bioroznorodnosci, ochronie gatunkow i relacjach miedzy czlowiekiem a srodowiskiem.;https://www.google.com/maps/search/Polska+ogrod+botaniczny+zoologiczny;10 pkt;ETAP2_OK
Lesne Kompleksy Promocyjne;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Lesne Kompleksy Promocyjne to obszary gospodarki lesnej laczace funkcje ochronne, edukacyjne i badawcze. W regulaminie sa punktowane jako miejsca poznawania praktyk zrownowazonego uzytkowania lasu oraz nowoczesnej ochrony ekosystemow lesnych.;https://www.google.com/maps/search/Polska+Lesne+Kompleksy+Promocyjne;10 pkt;ETAP2_OK
parki krajobrazowe;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Parki krajobrazowe chronia wartosci przyrodnicze i kulturowe na rozleglych obszarach, dopuszczajac turystyke i edukacje. Punktowanie tej kategorii wspiera poznawanie krajobrazu regionalnego oraz zasad laczenia ochrony przyrody z aktywnoscia czlowieka.;https://www.google.com/maps/search/Polska+parki+krajobrazowe;5 pkt;ETAP2_OK
rezerwaty przyrody;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Rezerwaty przyrody obejmuja najcenniejsze fragmenty ekosystemow, gdzie ochrona ma charakter scisly lub czynny. Kategoria promuje odwiedzanie miejsc o wysokiej wartosci naukowej i edukacyjnej oraz respektowanie ograniczen wynikajacych z celow ochrony.;https://www.google.com/maps/search/Polska+rezerwaty+przyrody;5 pkt;ETAP2_OK
obszary ochrony krajobrazu;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Obszary chronionego krajobrazu obejmuja tereny o wyrozniajacych walorach widokowych i przyrodniczych, istotne dla turystyki i rekreacji. W regulaminie pelnia role kategorii uzupelniajacej, rozwijajacej umiejetnosc odczytywania wartosci krajobrazu.;https://www.google.com/maps/search/Polska+obszar+chronionego+krajobrazu;3 pkt;ETAP2_OK
pomniki przyrody, skupiska pomnikow tego samego rodzaju;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Kategoria obejmuje pojedyncze obiekty przyrodnicze i ich zespoly, np. okazy drzew, glazy czy formy geologiczne uznane za pomniki przyrody. Punktacja wzmacnia znajomosc lokalnych form ochrony i identyfikacje cennych elementow krajobrazu.;https://www.google.com/maps/search/Polska+pomniki+przyrody;3 pkt;ETAP2_OK
sciezki przyrodnicze, izby lesne;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Sciezki przyrodnicze i izby lesne to narzedzia edukacji terenowej, ktore porzadkuja wiedze o siedliskach, gatunkach i gospodarce lesnej. Kategoria promuje aktywne poznawanie przyrody z wykorzystaniem infrastruktury dydaktycznej i tablic interpretacyjnych.;https://www.google.com/maps/search/Polska+sciezka+przyrodnicza+izba+lesna;3 pkt;ETAP2_OK
uzytki ekologiczne, stanowiska dokumentacyjne;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Uzytki ekologiczne i stanowiska dokumentacyjne chronia niewielkie, lecz cenne elementy przyrody lub geologii, wazne dla zachowania roznorodnosci. Ich uwzglednienie w punktacji podkresla znaczenie lokalnych form ochrony i ich wartosci poznawczej.;https://www.google.com/maps/search/Polska+uzytek+ekologiczny+stanowisko+dokumentacyjne;3 pkt;ETAP2_OK
parki zabytkowe;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Parki zabytkowe lacza walory przyrodnicze i kulturowe, dokumentujac historyczne zalozenia ogrodowe oraz dawne kompozycje przestrzenne. Kategoria rozwija kompetencje krajoznawcze na styku ochrony przyrody, historii sztuki ogrodowej i dziedzictwa regionow.;https://www.google.com/maps/search/Polska+parki+zabytkowe;2 pkt;ETAP2_OK
parki wiejskie;ogolnopolskie;kategoria punktowa;Polska;MANUAL_CHECK;Parki wiejskie to lokalne zalozenia zieleni o znaczeniu spolecznym i krajobrazowym, czesto zwiazane z historia miejscowosci. Wlaczenie ich do regulaminu premiuje poznawanie mniejszych, codziennych form dziedzictwa przyrodniczo-kulturowego poza glownymi osrodkami.;https://www.google.com/maps/search/Polska+park+wiejski;1 pkt;ETAP2_OK
